iter	Logloss
0	0.6873581409
1	0.6821584909
2	0.6766795572
3	0.6715083363
4	0.6664876037
5	0.6611889763
6	0.6559142425
7	0.6507009266
8	0.6453810869
9	0.6405626625
10	0.6353848602
11	0.6312811745
12	0.6271506928
13	0.622720309
14	0.6184939189
15	0.6145336148
16	0.6101250707
17	0.6065944379
18	0.6029138637
19	0.5989149922
20	0.5949144319
21	0.5916075779
22	0.5876361554
23	0.5843271087
24	0.580994288
25	0.5776673508
26	0.5745197076
27	0.5714765826
28	0.568511079
29	0.5654839871
30	0.5624601181
31	0.558796967
32	0.5561366893
33	0.5530958165
34	0.5501659536
35	0.5472236072
36	0.5441909144
37	0.5416249046
38	0.5392804943
39	0.5367123837
40	0.5340201872
41	0.5316366602
42	0.5291572895
43	0.5271450925
44	0.5247030364
45	0.5220674435
46	0.5199509974
47	0.5176165119
48	0.5152493552
49	0.5131597816
50	0.5110309583
51	0.5090927613
52	0.5068937141
53	0.5048647634
54	0.5030757212
55	0.5015382615
56	0.499794873
57	0.4979869656
58	0.4961154679
59	0.4942065425
60	0.492509392
61	0.4906049658
62	0.4890627882
63	0.4877651122
64	0.4863163626
65	0.4845269838
66	0.4827067345
67	0.4812033877
68	0.4800276982
69	0.4786513921
70	0.4773623571
71	0.4762129385
72	0.4750447376
73	0.4735805936
74	0.4724175936
75	0.4708611063
76	0.4695624398
77	0.4679714141
78	0.4666580609
79	0.4654023699
80	0.4642964045
81	0.4632112481
82	0.4620534685
83	0.4612058699
84	0.4601322014
85	0.4589716286
86	0.4582542529
87	0.4572124787
88	0.4561784143
89	0.4549985122
90	0.4538878562
91	0.4529135296
92	0.4520547497
93	0.4512344976
94	0.4501578178
95	0.4490731414
96	0.4480486196
97	0.4471214157
98	0.4459999494
99	0.4452520771
100	0.4440010197
101	0.4428405404
102	0.4421167276
103	0.4414578156
104	0.4406819896
105	0.4398067386
106	0.4389764743
107	0.4380596901
108	0.4373223944
109	0.436381142
110	0.4354725799
111	0.4348633877
112	0.4339511704
113	0.4330928749
114	0.4325241516
115	0.4318176251
116	0.4312634193
117	0.4305067118
118	0.4299126374
119	0.4289888822
120	0.4283075933
121	0.4274366351
122	0.426858614
123	0.4260932857
124	0.4254854699
125	0.4248209672
126	0.424055762
127	0.4235131121
128	0.4228609355
129	0.4223623897
130	0.421420012
131	0.4208001389
132	0.4201183137
133	0.4194663521
134	0.4188698473
135	0.4184515555
136	0.4180477052
137	0.4174970031
138	0.4168658325
139	0.4163257707
140	0.4156136969
141	0.4150853681
142	0.4144205894
143	0.4139903767
144	0.4132448572
145	0.4126984661
146	0.4120445669
147	0.4114466876
148	0.4109313879
149	0.4102733502
150	0.4097936232
151	0.4091453174
152	0.408665332
153	0.4081473693
154	0.4076240173
155	0.407094823
156	0.406513404
157	0.4061394171
158	0.4054837527
159	0.4050047808
160	0.4044718214
161	0.4039557893
162	0.4033878976
163	0.4029646443
164	0.4024759472
165	0.4019874396
166	0.4015048583
167	0.4010848194
168	0.4007034418
169	0.4001633693
170	0.3996337322
171	0.3992635125
172	0.398856962
173	0.3985041702
174	0.3980154392
175	0.39762423
176	0.3972113143
177	0.3966389874
178	0.3962568361
179	0.3959322258
180	0.395620034
181	0.3953210998
182	0.394973344
183	0.3945669541
184	0.3941202004
185	0.393821703
186	0.3935046428
187	0.3930528499
188	0.3927910838
189	0.3923735146
190	0.3919998439
191	0.3916927814
192	0.3912352453
193	0.3908759036
194	0.3904126502
195	0.3901166199
196	0.3896751724
197	0.3893357417
198	0.3887905974
199	0.3884799128
200	0.3881438369
201	0.3877417589
202	0.3873903624
203	0.3871316709
204	0.3866119293
205	0.386280612
206	0.3859714335
207	0.3854963065
208	0.3851579687
209	0.3847144855
210	0.3844481684
211	0.3841348937
212	0.3836679066
213	0.3833483433
214	0.3830521646
215	0.3826135303
216	0.3823565308
217	0.3819949749
218	0.3816353887
219	0.381169596
220	0.3807694201
221	0.3803466686
222	0.3800336034
223	0.3797658461
224	0.3795255287
225	0.3791397174
226	0.3789058973
227	0.3784995393
228	0.3782376278
229	0.3778670789
230	0.3775117829
231	0.3772415548
232	0.3768616757
233	0.3765150981
234	0.3761630341
235	0.3758729568
236	0.375567322
237	0.3753000473
238	0.3749527331
239	0.374623302
240	0.3743414115
241	0.3740247913
242	0.3736431748
243	0.373380779
244	0.3731400013
245	0.3727935494
246	0.372511314
247	0.3722203038
248	0.371982345
249	0.3717121591
250	0.3714936175
251	0.3712573963
252	0.3709471573
253	0.3707098577
254	0.3703889971
255	0.370155037
256	0.369919241
257	0.3697973204
258	0.3695235959
259	0.3691814266
260	0.36885343
261	0.3685689981
262	0.3683791439
263	0.3681666831
264	0.367941612
265	0.3676971421
266	0.3673213463
267	0.3670691381
268	0.3668148566
269	0.3665857127
270	0.3662608411
271	0.3660247073
272	0.3658475651
273	0.3656222181
274	0.3654525596
275	0.3650651171
276	0.3648143397
277	0.3644897484
278	0.3643003468
279	0.3640451446
280	0.3637901527
281	0.3634736696
282	0.3632377466
283	0.3628383873
284	0.3626484223
285	0.3623894974
286	0.3621625005
287	0.3619297802
288	0.3615618606
289	0.3613619837
290	0.3611017368
291	0.3608339942
292	0.3605825403
293	0.3603833562
294	0.3600987699
295	0.3598136447
296	0.3596106446
297	0.3593426489
298	0.3591212813
299	0.3589627507
